PlayerName,NFBC_ADP,playerid
Ronald Acuna Jr.,1.76,18401
Fernando Tatis Jr.,2.58,19709
Mookie Betts,3.6,13611
Juan Soto,3.9,20123
Mike Trout,6.1,10155
Gerrit Cole,6.22,13125
Jacob deGrom,6.3,10954
Trea Turner,7.28,16252
Shane Bieber,9.39,19427
Jose Ramirez,10.98,13510
Christian Yelich,11.67,11477
Trevor Story,11.7,12564
Freddie Freeman,12.7,5361
Cody Bellinger,16.07,15998
Trevor Bauer,16.28,12703
Francisco Lindor,17.09,12916
Francisco Lindor,17.09,12916
Yu Darvish,17.14,13074
Lucas Giolito,18.45,15474
Walker Buehler,20.09,19374
Bryce Harper,20.19,11579
Manny Machado,21.63,11493
Aaron Nola,22.39,16149
Adalberto Mondesi,23.26,13769
Bo Bichette,24.47,19612
Luis Castillo,27.37,15689
DJ LeMahieu,28.59,9874
Max Scherzer,28.82,3137
Jack Flaherty,30.57,17479
Kyle Tucker,31.4,18345
Brandon Woodruff,33.79,16162
J.T. Realmuto,34.21,11739
Ozzie Albies,34.44,16556
Nolan Arenado,34.46,9777
Clayton Kershaw,34.8,2036
Eloy Jimenez,34.88,17484
Xander Bogaerts,35.05,12161
Luis Robert,36.44,20043
Corey Seager,37.03,13624
Jose Abreu,37.59,15676
Whit Merrifield,39.44,11281
Zac Gallen,40.62,19291
Tim Anderson,42.06,15172
Anthony Rendon,42.07,12861
Alex Bregman,42.6,17678
Rafael Devers,42.64,17350
Blake Snell,45.12,13543
Kenta Maeda,47.75,18498
Marcell Ozuna,48.43,10324
Starling Marte,50.57,9241
George Springer,50.92,12856
Tyler Glasnow,51.68,14374
Lance Lynn,52.01,2520
Vladimir Guerrero Jr.,55.55,19611
Randy Arozarena,56.99,19290
Pete Alonso,57.82,19251
Aaron Judge,58.29,15640
Josh Hader,58.49,14212
Cavan Biggio,60.72,19252
Corbin Burnes,60.98,19361
Liam Hendriks,61.33,3548
Luke Voit,61.93,14811
Carlos Carrasco,64.72,6632
Zach Plesac,65.72,19979
Sonny Gray,66.06,12768
Max Fried,66.14,13743
Trent Grisham,66.51,18564
Keston Hiura,69.34,20003
Gleyber Torres,70.13,16997
Stephen Strasburg,71.17,10131
Brandon Lowe,71.82,18882
Javier Baez,72.88,12979
Michael Conforto,73.3,16376
Hyun Jin Ryu,74.28,NA
Teoscar Hernandez,75.4,13066
Salvador Perez,76.15,7304
Aroldis Chapman,76.53,10233
Eugenio Suarez,78.6,12552
Ketel Marte,80.55,13613
Edwin Diaz,82.39,sa738152
Edwin Diaz,82.39,14710
Lourdes Gurriel Jr.,83.6,19238
Nick Castellanos,84.12,NA
Yordan Alvarez,84.5,19556
Yoan Moncada,85.04,17232
Jose Berrios,85.1,14168
Kyle Hendricks,85.2,12049
Dinelson Lamet,86.75,17186
Jeff McNeil,86.9,15362
Charlie Blackmon,89.21,7859
Matt Olson,90.16,14344
Raisel Iglesias,91.96,17130
Max Muncy,94.24,13301
Zack Wheeler,94.55,10310
J.D. Martinez,95.61,6184
Austin Meadows,95.86,15672
Framber Valdez,96.34,17295
Will Smith,96.41,19197
Will Smith,96.41,19197
Will Smith,96.41,8048
Will Smith,96.41,8048
Paul Goldschmidt,96.76,9218
Jose Altuve,98.6,5417
Ian Anderson,99.38,19951
Anthony Rizzo,101.07,3473
Nelson Cruz,101.16,2434
Jesus Luzardo,102.17,19959
Dansby Swanson,104.48,18314
James Karinchak,104.73,20151
Alec Bohm,106.33,21618
Dylan Bundy,107.93,12917
Zack Greinke,108.42,1943
Chris Paddack,109.72,20099
Eddie Rosario,111.83,12155
Dominic Smith,112.37,15653
Matt Chapman,113.29,16505
Byron Buxton,114.47,14161
Dylan Moore,115.46,18042
Julio Urias,118.36,14765
Mike Moustakas,119.59,4892
Charlie Morton,121.87,4676
Lance McCullers Jr.,122.21,14120
Ryan Pressly,122.87,7005
Giancarlo Stanton,123.21,4949
Willson Contreras,124.03,11609
Carlos Correa,126.63,14162
Yasmani Grandal,126.89,11368
Joe Musgrove,127.52,12970
Tommy Edman,127.71,19470
Pablo Lopez,128.07,17085
Alex Verdugo,128.9,17027
Kris Bryant,129.83,15429
Tommy Pham,130.01,2967
Wil Myers,130.27,10047
Brad Hand,130.35,9111
Kevin Gausman,131.46,14107
Kenley Jansen,135.71,3096
Eric Hosmer,136.48,3516
Travis d'Arnaud,137.02,7739
Sixto Sanchez,137.07,19680
Marcus Semien,137.8,12533
Kyle Lewis,137.95,19508
Mike Yastrzemski,138.2,14854
Patrick Corbin,138.72,9323
Sandy Alcantara,140.19,18684
Ke'Bryan Hayes,141.82,18577
Ramon Laureano,143.28,17128
Jorge Soler,144.15,14221
Christian Vazquez,147.59,9774
Taylor Rogers,147.69,13449
Jonathan Villar,148.94,10071
Daulton Varsho,150.26,19918
Michael Brantley,152.32,4106
Ryan Mountcastle,152.96,18373
Dylan Carlson,153.47,20126
Josh Bell,155.57,13145
Frankie Montas,156.25,14309
Franmil Reyes,156.31,14566
Anthony Santander,157.58,14551
Victor Robles,158.45,18363
Gio Urshela,160.85,NA
Sean Murphy,160.96,19352
Austin Nola,162.85,15941
Joey Gallo,162.97,14128
Ian Happ,163.98,17919
Didi Gregorius,165.87,6012
Rhys Hoskins,167.01,16472
German Marquez,167.11,15038
Nick Anderson,167.32,18337
Marco Gonzales,167.9,15467
Nick Solak,169.13,19294
Andres Gimenez,169.87,19950
Andres Gimenez,169.87,19950
Gary Sanchez,171.97,11442
Dustin May,172.74,19716
Tyler Mahle,174.62,16358
James McCann,175.15,12859
Devin Williams,175.6,15816
Kirby Yates,177.11,9073
Mike Soroka,179.22,18383
Trey Mancini,179.83,15149
